['win', [[4, 'S'], [2, 'H']], '2 Pairs']
['win', [[10, 'S'], [8, 'C']], 'Full House']
['win', [[5, 'S'], [5, 'D']], 'Full House']
['win', [[11, 'C'], [14, 'H']], '2 Pairs']
['win', [[12, 'C'], [4, 'C']], '2 Pairs']
['win', [[2, 'H'], [2, 'D']], 'Full House']
['win', [[5, 'S'], [7, 'H']], 'Straight']
['win', [[13, 'H'], [2, 'S']], '3 of a Kind']
['win', [[10, 'H'], [5, 'S']], '2 Pairs']
['win', [[12, 'H'], [14, 'C']], 'Pair']
['win', [[10, 'S'], [8, 'H']], '2 Pairs']
['win', [[12, 'C'], [11, 'D']], '2 Pairs']
['draw', [[[11, 'H'], [9, 'C']], [[11, 'C'], [14, 'C']]], '2 Pairs']
['win', [[9, 'S'], [10, 'D']], '3 of a Kind']
