['win', [[4, 'S'], [11, 'C']], '2 Pairs']
['win', [[11, 'D'], [13, 'D']], '2 Pairs']
['win', [[11, 'S'], [5, 'C']], 'Pair']
['win', [[10, 'H'], [5, 'D']], 'Straight']
['win', [[11, 'C'], [14, 'S']], 'Pair']
['win', [[13, 'S'], [13, 'D']], '2 Pairs']
['win', [[4, 'S'], [2, 'S']], 'Pair']
['win', [[9, 'H'], [4, 'D']], 'Flush']
['win', [[8, 'D'], [10, 'C']], '2 Pairs']
['draw', [[[7, 'C'], [3, 'H']], [[8, 'S'], [5, 'H']]], 'Pair']
['win', [[7, 'D'], [13, 'D']], '2 Pairs']
['win', [[3, 'C'], [10, 'C']], 'Pair']
['win', [[10, 'C'], [13, 'S']], 'Pair']
